ItemLevel	Cost
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	0.000000
8	0.000000
9	0.000000
10	0.000000
11	0.000000
12	0.000000
13	0.000000
14	0.000000
15	0.000000
16	0.000000
17	0.000000
18	0.000000
19	1.000000
20	1.000000
21	1.000000
22	1.000000
23	1.000000
24	1.000000
25	1.000000
26	1.000000
27	1.000000
28	1.000000
29	1.000000
30	1.000000
31	2.000000
32	2.000000
33	2.000000
34	2.000000
35	2.000000
36	2.000000
37	2.000000
38	2.000000
39	2.000000
40	2.000000
41	2.000000
42	2.000000
43	3.000000
44	3.000000
45	3.000000
46	3.000000
47	3.000000
48	3.000000
49	3.000000
50	3.000000
51	3.000000
52	3.000000
53	3.000000
54	3.000000
55	4.000000
56	4.000000
57	4.000000
58	4.000000
59	4.000000
60	4.000000
61	4.000000
62	4.000000
63	4.000000
64	4.000000
65	4.000000
66	4.000000
67	4.000000
68	4.000000
69	4.000000
70	4.000000
71	4.000000
72	4.000000
73	4.000000
74	4.000000
75	4.000000
76	4.000000
77	4.000000
78	4.000000
79	4.000000
80	4.000000
81	4.000000
82	4.000000
83	4.000000
84	4.000000
85	4.000000
86	4.000000
87	4.000000
88	4.000000
89	5.000000
90	5.000000
91	5.000000
92	5.000000
93	5.000000
94	5.000000
95	5.000000
96	5.000000
97	5.000000
98	5.000000
99	5.000000
100	6.000000
101	6.000000
102	6.000000
103	6.000000
104	6.000000
105	6.000000
106	6.000000
107	6.000000
108	6.000000
109	6.000000
110	6.000000
111	6.000000
112	6.000000
113	6.000000
114	6.000000
115	6.000000
116	6.000000
117	6.000000
118	6.000000
119	6.000000
120	6.000000
121	6.000000
122	6.000000
123	6.000000
124	6.000000
125	6.000000
126	6.000000
127	6.000000
128	6.000000
129	6.000000
130	6.000000
131	6.000000
132	6.000000
133	6.000000
134	6.000000
135	6.000000
136	6.000000
137	6.000000
138	6.000000
139	6.000000
140	6.000000
141	6.000000
142	6.000000
143	6.000000
144	6.000000
145	6.000000
146	6.000000
147	6.000000
148	6.000000
149	6.000000
150	6.000000
151	6.000000
152	6.000000
153	6.000000
154	6.000000
155	6.000000
156	6.000000
157	6.000000
158	6.000000
159	6.000000
160	6.000000
161	6.000000
162	6.000000
163	6.000000
164	6.000000
165	6.000000
166	6.000000
167	6.000000
168	6.000000
169	6.000000
170	6.000000
171	6.000000
172	6.000000
173	6.000000
174	6.000000
175	6.000000
176	6.000000
177	6.000000
178	20.000000
179	20.000000
180	20.000000
181	20.000000
182	20.000000
183	20.000000
184	20.000000
185	20.000000
186	20.000000
187	20.000000
188	20.000000
189	20.000000
190	20.000000
191	20.000000
192	20.000000
193	20.000000
194	20.000000
195	20.000000
196	20.000000
197	20.000000
198	20.000000
199	20.000000
200	20.000000
201	20.000000
202	20.000000
203	20.000000
204	20.000000
205	20.000000
206	20.000000
207	20.000000
208	20.000000
209	20.000000
210	20.000000
211	20.000000
212	20.000000
213	20.000000
214	20.000000
215	20.000000
216	20.000000
217	20.000000
218	20.000000
219	20.000000
220	20.000000
221	20.000000
222	20.000000
223	20.000000
224	20.000000
225	20.000000
226	20.000000
227	20.000000
228	20.000000
229	20.000000
230	20.000000
231	20.000000
232	20.000000
233	20.000000
234	20.000000
235	20.000000
236	20.000000
237	20.000000
238	20.000000
239	20.000000
240	20.000000
241	20.000000
242	20.000000
243	20.000000
244	20.000000
245	20.000000
246	20.000000
247	20.000000
248	20.000000
249	20.000000
250	20.000000
251	20.000000
252	20.000000
253	20.000000
254	20.000000
255	20.000000
256	20.000000
257	20.000000
258	20.000000
259	20.000000
260	20.000000
261	20.000000
262	20.000000
263	20.000000
264	20.000000
265	20.000000
266	20.000000
267	20.000000
268	20.000000
269	20.000000
270	20.000000
271	20.000000
272	20.000000
273	20.000000
274	20.000000
275	20.000000
276	20.000000
277	20.000000
278	20.000000
279	20.000000
280	20.000000
281	20.000000
282	20.000000
283	20.000000
284	20.000000
285	20.000000
286	20.000000
287	20.000000
288	20.000000
289	20.000000
290	20.000000
291	20.000000
292	20.000000
293	20.000000
294	20.000000
295	20.000000
296	20.000000
297	20.000000
298	20.000000
299	20.000000
300	20.000000
301	20.000000
302	20.000000
303	20.000000
304	20.000000
305	20.000000
306	20.000000
307	20.000000
308	20.000000
309	20.000000
310	20.000000
311	20.000000
312	20.000000
313	20.000000
314	20.000000
315	20.000000
316	20.000000
317	20.000000
318	20.000000
319	20.000000
320	20.000000
321	20.000000
322	20.000000
323	20.000000
324	20.000000
325	20.000000
326	20.000000
327	20.000000
328	20.000000
329	20.000000
330	20.000000
331	20.000000
332	20.000000
333	40.000000
334	40.000000
335	40.000000
336	40.000000
337	40.000000
338	40.000000
339	40.000000
340	40.000000
341	40.000000
342	40.000000
343	40.000000
344	40.000000
345	40.000000
346	40.000000
347	40.000000
348	40.000000
349	40.000000
350	40.000000
351	40.000000
352	40.000000
353	40.000000
354	40.000000
355	40.000000
356	40.000000
357	40.000000
358	40.000000
359	40.000000
360	40.000000
361	40.000000
362	40.000000
363	40.000000
364	40.000000
365	40.000000
366	40.000000
367	40.000000
368	40.000000
369	40.000000
370	40.000000
371	40.000000
372	40.000000
373	40.000000
374	40.000000
375	40.000000
376	40.000000
377	40.000000
378	40.000000
379	40.000000
380	40.000000
381	40.000000
382	40.000000
383	40.000000
384	40.000000
385	40.000000
386	40.000000
387	40.000000
388	40.000000
389	40.000000
390	40.000000
391	40.000000
392	40.000000
393	40.000000
394	40.000000
395	40.000000
396	40.000000
397	40.000000
398	40.000000
399	40.000000
400	40.000000
401	40.000000
402	40.000000
403	40.000000
404	40.000000
405	40.000000
406	40.000000
407	40.000000
408	40.000000
409	40.000000
410	40.000000
411	40.000000
412	40.000000
413	40.000000
414	40.000000
415	40.000000
416	40.000000
417	160.000000
418	160.000000
419	160.000000
420	160.000000
421	160.000000
422	160.000000
423	160.000000
424	160.000000
425	160.000000
426	160.000000
427	160.000000
428	160.000000
429	160.000000
430	160.000000
431	160.000000
432	160.000000
433	160.000000
434	160.000000
435	160.000000
436	160.000000
437	160.000000
438	160.000000
439	160.000000
440	160.000000
441	160.000000
442	160.000000
443	160.000000
444	160.000000
445	160.000000
446	160.000000
447	160.000000
448	160.000000
449	160.000000
450	160.000000
451	160.000000
452	160.000000
453	160.000000
454	160.000000
455	160.000000
456	160.000000
457	160.000000
458	160.000000
459	160.000000
460	160.000000
461	160.000000
462	160.000000
463	160.000000
464	160.000000
465	160.000000
466	160.000000
467	160.000000
468	160.000000
469	160.000000
470	160.000000
471	160.000000
472	160.000000
473	160.000000
474	160.000000
475	160.000000
476	160.000000
477	160.000000
478	160.000000
479	160.000000
480	160.000000
481	160.000000
482	160.000000
483	160.000000
484	160.000000
485	160.000000
486	160.000000
487	160.000000
488	160.000000
489	160.000000
490	160.000000
491	160.000000
492	160.000000
493	160.000000
494	160.000000
495	160.000000
496	160.000000
497	160.000000
498	160.000000
499	160.000000
500	160.000000
501	160.000000
502	160.000000
503	160.000000
504	160.000000
505	160.000000
506	160.000000
507	160.000000
508	160.000000
509	160.000000
510	160.000000
511	160.000000
512	160.000000
513	160.000000
514	160.000000
515	160.000000
516	160.000000
517	160.000000
518	160.000000
519	160.000000
520	160.000000
521	160.000000
522	160.000000
523	160.000000
524	160.000000
525	160.000000
526	160.000000
527	160.000000
528	160.000000
529	160.000000
530	160.000000
531	160.000000
532	160.000000
533	160.000000
534	160.000000
535	160.000000
536	160.000000
537	160.000000
538	160.000000
539	160.000000
540	160.000000
541	160.000000
542	160.000000
543	160.000000
544	160.000000
545	160.000000
546	160.000000
547	160.000000
548	160.000000
549	160.000000
550	160.000000
551	160.000000
552	160.000000
553	160.000000
554	160.000000
555	160.000000
556	160.000000
557	160.000000
558	160.000000
559	160.000000
560	160.000000
561	160.000000
562	160.000000
563	160.000000
564	160.000000
565	160.000000
566	160.000000
567	160.000000
568	160.000000
569	160.000000
570	160.000000
571	160.000000
572	160.000000
573	160.000000
574	160.000000
575	160.000000
576	160.000000
577	160.000000
578	160.000000
579	160.000000
580	160.000000
581	160.000000
582	160.000000
583	160.000000
584	160.000000
585	160.000000
586	160.000000
587	160.000000
588	160.000000
589	160.000000
590	160.000000
591	160.000000
592	160.000000
593	160.000000
594	160.000000
595	160.000000
596	160.000000
597	160.000000
598	160.000000
599	160.000000
600	160.000000
601	160.000000
602	160.000000
603	160.000000
604	160.000000
605	160.000000
606	160.000000
607	160.000000
608	160.000000
609	160.000000
610	160.000000
611	160.000000
612	160.000000
613	160.000000
614	160.000000
615	160.000000
616	160.000000
617	160.000000
618	160.000000
619	160.000000
620	160.000000
621	160.000000
622	160.000000
623	160.000000
624	160.000000
625	160.000000
626	160.000000
627	160.000000
628	160.000000
629	160.000000
630	160.000000
631	160.000000
632	160.000000
633	160.000000
634	160.000000
635	160.000000
636	160.000000
637	160.000000
638	160.000000
639	160.000000
640	160.000000
641	160.000000
642	160.000000
643	160.000000
644	160.000000
645	160.000000
646	160.000000
647	160.000000
648	160.000000
649	160.000000
650	160.000000
651	160.000000
652	160.000000
653	160.000000
654	160.000000
655	160.000000
656	160.000000
657	160.000000
658	160.000000
659	160.000000
660	160.000000
661	160.000000
662	160.000000
663	160.000000
664	160.000000
665	160.000000
666	160.000000
667	160.000000
668	160.000000
669	160.000000
670	160.000000
671	160.000000
672	160.000000
673	160.000000
674	160.000000
675	160.000000
676	160.000000
677	160.000000
678	160.000000
679	160.000000
680	160.000000
681	160.000000
682	160.000000
683	160.000000
684	160.000000
685	160.000000
686	160.000000
687	160.000000
688	160.000000
689	160.000000
690	160.000000
691	160.000000
692	160.000000
693	160.000000
694	160.000000
695	160.000000
696	160.000000
697	160.000000
698	160.000000
699	160.000000
700	160.000000
701	160.000000
702	160.000000
703	160.000000
704	160.000000
705	160.000000
706	160.000000
707	160.000000
708	160.000000
709	160.000000
710	160.000000
711	160.000000
712	160.000000
713	160.000000
714	160.000000
715	160.000000
716	160.000000
717	160.000000
718	160.000000
719	160.000000
720	160.000000
721	160.000000
722	160.000000
723	160.000000
724	160.000000
725	160.000000
726	160.000000
727	160.000000
728	160.000000
729	160.000000
730	160.000000
731	160.000000
732	160.000000
733	160.000000
734	160.000000
735	160.000000
736	160.000000
737	160.000000
738	160.000000
739	160.000000
740	160.000000
741	160.000000
742	160.000000
743	160.000000
744	160.000000
745	160.000000
746	160.000000
747	160.000000
748	160.000000
749	160.000000
750	160.000000
751	160.000000
752	160.000000
753	160.000000
754	160.000000
755	160.000000
756	160.000000
757	160.000000
758	160.000000
759	160.000000
760	160.000000
761	160.000000
762	160.000000
763	160.000000
764	160.000000
765	160.000000
766	160.000000
767	160.000000
768	160.000000
769	160.000000
770	160.000000
771	160.000000
772	160.000000
773	160.000000
774	160.000000
775	160.000000
776	160.000000
777	160.000000
778	160.000000
779	160.000000
780	160.000000
781	160.000000
782	160.000000
783	160.000000
784	160.000000
785	160.000000
786	160.000000
787	160.000000
788	160.000000
789	160.000000
790	160.000000
791	160.000000
792	160.000000
793	160.000000
794	160.000000
795	160.000000
796	160.000000
797	160.000000
798	160.000000
799	160.000000
800	160.000000
801	160.000000
802	160.000000
803	160.000000
804	160.000000
805	160.000000
806	160.000000
807	160.000000
808	160.000000
809	160.000000
810	160.000000
811	160.000000
812	160.000000
813	160.000000
814	160.000000
815	160.000000
816	160.000000
817	160.000000
818	160.000000
819	160.000000
820	160.000000
821	160.000000
822	160.000000
823	160.000000
824	160.000000
825	160.000000
826	160.000000
827	160.000000
828	160.000000
829	160.000000
830	160.000000
831	160.000000
832	160.000000
833	160.000000
834	160.000000
835	160.000000
836	160.000000
837	160.000000
838	160.000000
839	160.000000
840	160.000000
841	160.000000
842	160.000000
843	160.000000
844	160.000000
845	160.000000
846	160.000000
847	160.000000
848	160.000000
849	160.000000
850	160.000000
851	160.000000
852	160.000000
853	160.000000
854	160.000000
855	160.000000
856	160.000000
857	160.000000
858	160.000000
859	160.000000
860	160.000000
861	160.000000
862	160.000000
863	160.000000
864	160.000000
865	160.000000
866	160.000000
867	160.000000
868	160.000000
869	160.000000
870	160.000000
871	160.000000
872	160.000000
873	160.000000
874	160.000000
875	160.000000
876	160.000000
877	160.000000
878	160.000000
879	160.000000
880	160.000000
881	160.000000
882	160.000000
883	160.000000
884	160.000000
885	160.000000
886	160.000000
887	160.000000
888	160.000000
889	160.000000
890	160.000000
891	160.000000
892	160.000000
893	160.000000
894	160.000000
895	160.000000
896	160.000000
897	160.000000
898	160.000000
899	160.000000
900	160.000000
901	160.000000
902	160.000000
903	160.000000
904	160.000000
905	160.000000
906	160.000000
907	160.000000
908	160.000000
909	160.000000
910	160.000000
911	160.000000
912	160.000000
913	160.000000
914	160.000000
915	160.000000
916	160.000000
917	160.000000
918	160.000000
919	160.000000
920	160.000000
921	160.000000
922	160.000000
923	160.000000
924	160.000000
925	160.000000
926	160.000000
927	160.000000
928	160.000000
929	160.000000
930	160.000000
931	160.000000
932	160.000000
933	160.000000
934	160.000000
935	160.000000
936	160.000000
937	160.000000
938	160.000000
939	160.000000
940	160.000000
941	160.000000
942	160.000000
943	160.000000
944	160.000000
945	160.000000
946	160.000000
947	160.000000
948	160.000000
949	160.000000
950	160.000000
951	160.000000
952	160.000000
953	160.000000
954	160.000000
955	160.000000
956	160.000000
957	160.000000
958	160.000000
959	160.000000
960	160.000000
961	160.000000
962	160.000000
963	160.000000
964	160.000000
965	160.000000
966	160.000000
967	160.000000
968	160.000000
969	160.000000
970	160.000000
971	160.000000
972	160.000000
973	160.000000
974	160.000000
975	160.000000
976	160.000000
977	160.000000
978	160.000000
979	160.000000
980	160.000000
981	160.000000
982	160.000000
983	160.000000
984	160.000000
985	160.000000
986	160.000000
987	160.000000
988	160.000000
989	160.000000
990	160.000000
991	160.000000
992	160.000000
993	160.000000
994	160.000000
995	160.000000
996	160.000000
997	160.000000
998	160.000000
999	160.000000
1000	160.000000
